FFT Spectrogram,aEEG,Spike Detections (count per 10 sec),Spike Detections (count per sec),Suppression Ratio,aEEG+ (0.16 - 25Hz)
0.2908482875,1.1721594,0.5,0.0,85.10390000000001,9.49253
0.2908482875,1.0206287,0.5,0.0,85.10390000000001,8.754777
0.2908482875,1.1526413999999998,0.5,0.0,85.10390000000001,9.620355
0.7575204874999999,1.4069618,0.5,0.0,85.10390000000001,14.340264
0.7575204874999999,1.1285916,0.5,0.0,85.10390000000001,8.726348999999999
0.7575204874999999,1.9934715,0.5,0.0,85.10390000000001,19.099887000000003
0.7575204874999999,14.894296,0.5,0.5,85.10390000000001,47.23803
0.7575204874999999,17.266073,0.0,0.0,83.6814,56.117819999999995
0.7575204874999999,5.2450410000000005,0.0,0.0,83.6814,39.45634
0.7575204874999999,1.534132,0.0,0.0,83.6814,28.679389999999998
0.7575204874999999,0.8427986000000001,0.0,0.0,83.6814,18.60226
0.25547025,0.7872152,0.0,0.0,83.6814,9.468737
0.25547025,0.7970788,0.0,0.0,83.6814,7.392215
0.25547025,0.8605373000000001,0.0,0.0,83.6814,9.777576
0.25547025,0.9419131000000001,0.0,0.0,83.6814,13.103810000000001
0.25547025,0.7857957,0.0,0.0,83.6814,12.477349
0.25547025,0.6643055,0.0,0.0,83.6814,9.196802000000002
0.25547025,0.6660708,0.0,0.0,82.93350000000001,9.654264
0.25547025,0.6077306,0.0,0.0,82.93350000000001,9.386825000000002
0.28947,0.6448685000000001,0.0,0.0,82.93350000000001,7.246321999999999
0.28947,0.8031447,0.0,0.0,82.93350000000001,6.386329
0.28947,0.8663240000000001,0.0,0.0,82.93350000000001,6.841104999999999
0.28947,0.7322865000000001,0.0,0.0,82.93350000000001,4.778209
0.28947,0.7594133000000001,0.0,0.0,82.93350000000001,5.9640379999999995
0.28947,1.043375,0.0,0.0,82.93350000000001,9.616037
0.28947,1.3836277999999997,0.0,0.0,82.93350000000001,12.848001000000002
0.28947,1.307871,0.0,0.0,82.93350000000001,11.63439
0.2476192875,1.1461375,0.0,0.0,82.90015,9.337619
0.2476192875,0.7763089,0.0,0.0,82.90015,6.339796
0.2476192875,0.7004543,0.0,0.0,82.90015,5.899693
0.2476192875,0.5659782,0.0,0.0,82.90015,6.88399
0.2476192875,0.6007152,0.0,0.0,82.90015,7.0460009999999995
0.2476192875,0.7060315,0.0,0.0,82.90015,7.996014
0.2476192875,0.7644531999999999,0.0,0.0,82.90015,10.12489
0.2476192875,0.7706746,0.0,0.0,82.90015,10.885537
0.28136032499999997,0.8721462,0.0,0.0,82.90015,7.586148
0.28136032499999997,0.8399497,0.0,0.0,82.90015,7.223599
0.28136032499999997,0.8594774000000001,0.0,0.0,82.38825,8.169604
0.28136032499999997,1.0211622,0.0,0.0,82.38825,8.923919999999999
0.28136032499999997,1.2498933,0.0,0.0,82.38825,10.470082
0.28136032499999997,1.1332947,0.0,0.0,82.38825,9.245593
0.28136032499999997,0.9763118,0.0,0.0,82.38825,8.26875
0.28136032499999997,1.0268507,0.0,0.0,82.38825,8.120462
0.2784521,1.0672532000000001,0.0,0.0,82.38825,9.399756
0.2784521,0.9233530000000001,0.0,0.0,82.38825,10.495456999999998
0.2784521,0.9549985999999999,0.0,0.0,82.38825,9.445948999999999
0.2784521,0.9318184,0.0,0.0,82.38825,7.734399
0.2784521,0.9072195999999999,0.0,0.0,81.38645,8.943542
0.2784521,0.9155679000000001,0.0,0.0,81.38645,7.92897
0.2784521,0.9290849999999999,0.0,0.0,81.38645,7.5160860000000005
0.2784521,1.0578333999999998,0.0,0.0,81.38645,8.730581
0.2824926125,1.0722733,0.0,0.0,81.38645,10.748719000000001
0.2824926125,0.8948362,0.0,0.0,81.38645,12.311265
0.2824926125,0.8123013000000001,0.0,0.0,81.38645,8.75705
0.2824926125,1.0393526,0.0,0.0,81.38645,7.009892000000001
0.2824926125,1.1535501,0.0,0.0,81.38645,7.918734000000001
0.2824926125,1.1625383999999999,0.0,0.0,81.38645,7.4868570000000005
0.2824926125,1.0235271000000001,0.0,0.0,83.57585,7.016050000000001
0.2824926125,1.0295416,0.0,0.0,83.57585,6.443230999999999
0.26983835,0.8939904,0.0,0.0,83.57585,6.310468
0.26983835,0.9298037,0.0,0.0,83.57585,6.8579810000000005
0.26983835,0.8878395,0.0,0.0,83.57585,7.532074
0.26983835,0.7405501000000001,0.0,0.0,83.57585,7.389697000000001
0.26983835,0.9550327999999999,0.0,0.0,83.57585,7.284611999999999
0.26983835,0.8139261,0.0,0.0,83.57585,7.570069999999999
0.26983835,0.7278606,0.0,0.0,83.57585,5.302232
0.26983835,0.8449000000000001,0.0,0.0,83.57585,9.07498
0.2719711,1.1586915000000002,0.0,0.0,84.17805,13.980974
0.2719711,1.0223584,0.0,0.0,84.17805,9.774088
0.2719711,0.8486704,0.0,0.0,84.17805,9.699961
0.2719711,1.052524,0.0,0.0,84.17805,10.623787
0.2719711,0.8081734,0.0,0.0,84.17805,10.391162
0.2719711,0.7325579,0.0,0.0,84.17805,7.778371
0.2719711,0.8212697999999999,0.0,0.0,84.17805,9.652550999999999
0.2719711,0.8253636999999999,0.0,0.0,84.17805,12.153206
